curveID,CO2_setpoint,Tblock_setpoint,HHMMSS,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
5,400,40,62598.26667,83,1992.233333,0,10.5,0.379533333,295,9.3,2.730666667,34.80733333,6,1.42,1,2.84,38.16,34.80733333,40.06,400.0766667,358.5593333,0.715866667,27.88713333,1.09,42.564,199.62,1600,0,102.5,21.6,0.767,1,-0.22,2.74,1,0,0.16,111115,165
5,600,40,63145.26667,98,2538.866667,0,14.25333333,0.312,440.6,8.522,2.982666667,34.896,6,1.42,1,2.84,38.12,34.896,40.06,600.7233333,544.002,0.737533333,25.6876,1.13,39.29333333,199.6866667,1600,0,102.5,23.9,0.778,1,-0.22,2.74,1,0,0.16,111115,165
5,900,40,63740.26667,113,3133.566667,0,17.81333333,0.2458,663.5333333,7.533333333,3.28,34.92666667,6,1.42,1,2.84,38.08,34.92666667,40.06,899.7773333,827.464,0.7654,22.88733333,1.17,35.08466667,199.6333333,1600,0,102.5,23.9,0.778,0.76,-0.22,2.74,1,0,0.16,111115,165
5,1200,40,64237.93333,128,3631,0,18.66666667,0.201866667,910.3333333,6.39,3.338666667,35.38,6,1.42,1,2.84,38.26333333,35.38,40.06933333,1199.610667,1121.979333,4.952666667,23.70946667,7.52,35.98066667,199.64,1600,0,102.5,27.2,0.805,1,-0.22,2.74,1,0,0.16,111115,165
5,1500,40,64552.33333,143,3946.133333,0,19.7,0.1922,1170,6.212666667,3.395333333,35.428,6,1.42,1,2.84,38.23333333,35.428,40.04533333,1499.972,1414.324,5.0682,23.30686667,7.702,35.42866667,199.6466667,1600.933333,0,102.5,27.6,0.837,1,-0.22,2.74,1,0,0.16,111115,165
5,1800,40,64866,158,4259.2,0,20.25333333,0.182466667,1430.666667,6,3.447333333,35.37866667,6,1.42,1,2.84,38.19066667,35.37866667,40.06,1800.568667,1708.857333,5.022533333,22.65506667,7.65,34.50933333,199.6533333,1600,0,102.5,27.3,0.809,0.92,-0.22,2.74,1,0,0.16,111115,165
6,400,48,65715.8,8,90.8,0,8.99,0.3198,295.3333333,10.07333333,3.400666667,39.01666667,6,1.42,1,2.84,45.32,39.01666667,48.05933333,400.882,362.9046667,6.310266667,35.4524,6.6,37.08,199.7266667,1600,0,102.5,22.5,0.66,1,-0.22,2.74,1,0,0.16,111115,105
6,300,48,66007.46667,23,381.9333333,0,6.412,0.3624,227,10.5,3.168,38.71533333,6,1.42,1,2.84,45.27866667,38.71533333,48.06,299.182,271.3753333,6.288733333,36.62533333,6.59,38.38866667,199.7266667,1601,0,102.5,21.1,0.634,1,-0.22,2.74,1,0,0.16,111115,105
6,200,48,66305.73333,38,680.2666667,0,3.414,0.403066667,161,10.7,2.957333333,38.34733333,6,1.42,1,2.84,45.23,38.34733333,48.06,200.9986667,184.7726667,6.252,37.33526667,6.57,39.222,199.7,1601,0,102.5,19.6,0.383,1,-0.22,2.74,1,0,0.16,111115,105
6,100,48,66561.8,53,936.6333333,0,-0.01338,0.425266667,92.26666667,10.83333333,2.851333333,38.14266667,6,1.42,1,2.84,45.22,38.14266667,48.06,99.65866667,96.552,6.273066667,37.64546667,6.59,39.56533333,199.7,1600.133333,0,102.5,18,0.0247,1,-0.22,2.74,1,0,0.16,111115,105
6,50,48,66925.2,68,1299.1,0,-1.54,0.5178,55.00666667,11.9,2.636666667,38.38866667,6,1.42,1,2.84,45.39066667,38.38866667,48.06,49.01066667,51.78333333,6.2916,40.6186,6.554666667,42.31666667,199.7,1599,0,102.5,17.2,1.57,1,-0.22,2.74,1,0,0.16,111115,105
6,400,48,67332.8,83,1707.4,0,8.138666667,0.470666667,316.6,11.6,2.788,38.36266667,6,1.42,1,2.84,45.36,38.36266667,48.05266667,400.5533333,363.4413333,5.584933333,39.0648,5.83,40.76466667,199.7,1601,0,102.5,22.5,0.62,1,-0.22,2.74,1,0,0.16,111115,105
6,600,48,67575.8,98,1950.166667,0,11.97333333,0.43,472.0666667,11.18,2.901333333,38.32733333,6,1.42,1,2.84,45.29933333,38.32733333,48.06,600.63,546.3333333,5.576466667,37.82846667,5.84,39.602,199.6666667,1601,0,102.5,24.8,0.584,1,-0.22,2.74,1,0,0.16,111115,105
6,900,48,67855.06667,113,2229.5,0,15.12666667,0.41,721.6,11.3,3.056,38.69733333,6,1.42,1,2.84,45.35533333,38.69733333,47.97333333,899.6533333,826.1706667,5.024866667,37.64593333,5.244666667,39.29,199.7333333,1600,0,102.5,26.4,1.41,0.92,-0.22,2.74,1,0,0.16,111115,60
6,1200,48,68132.26667,128,2506.433333,0,16.5,0.358066667,977.9333333,10.7,3.268666667,38.76933333,6,1.42,1,2.84,45.43933333,38.76933333,48.06,1200.510667,1115.07,4.845,35.83393333,5.038,37.246,199.7,1600,0,102.5,28.6,0.769,0.86,-0.22,2.74,1,0,0.16,111115,60
6,1500,48,68404.13333,143,2778.9,0,17.53333333,0.3278,1240,10.2,3.38,38.69533333,6,1.42,1,2.84,45.38,38.69533333,48.06,1499.873333,1404.093333,4.8584,34.48106667,5.062666667,35.94,199.7266667,1600,0,102.5,28.9,0.673,0.7,-0.22,2.74,1,0,0.16,111115,60
6,1800,48,68711.73333,158,3085.6,0,18.48,0.300666667,1500,9.785333333,3.503333333,38.696,6,1.42,1,2.84,45.33,38.696,48.06,1800.371333,1695.068,4.858,33.27666667,5.08,34.77266667,199.7,1601,0,102.5,28.5,0.69,0.86,-0.22,2.74,1,0,0.16,111115,60
